Question,Reponse
['\n    La FAQ ratp.fr\n'],"['Retrouvez toutes les réponses aux questions récurrentes dans le menu sur votre gauche.', 'Sur mobile, retrouvez les questions par mot-clé.']"
['\n    Comment connaître l’ensemble des gares et stations de la RATP accessibles aux voyageurs en fauteuil roulant ?\n'],"['En Bus :', 'La totalité des lignes de Bus de Paris est déclarée accessible – Dans la mesure où une ligne est déclarée accessible lorsque 70% de ses arrêts ont été aménagés, nous vous invitons à vérifier sur le plan de ligne que vos arrêts de montée et de descente soient en effet accessibles.', 'En Tram :', 'Les lignes de Tram sont toutes accessibles en autonomie.\xa0', 'En RER :', 'Les 66 gares RER A et B exploitées par la RATP sont accessibles.\nIl vous suffit de vous présenter à l’agent du comptoir d’information pour qu’il vous accompagne sur le quai et mette en place la passerelle vous permettant de monter en toute sécurité à bord du RER.\nVous avez aussi la possibilité de trouver les lignes et gares accessibles à proximité sur le site.', 'En métro :', 'La ligne 14 du métro est accessible en autonomie.\xa0', 'Etat de fonctionnement des ascenseurs :', 'Vérifiez\xa0l’état de fonctionnement des ascenseurs sur une ligne ou sur une station / gare\xa0en particulier, avant d’effectuer votre trajet.']"
"['\n    Comment exclure de mon trajet une ligne à tarification spéciale\xa0?\n', '\n    Comment puis-je enregistrer mes informations favorites ?\n', '\n    Comment sauvegarder ma recherche d’itinéraire ?\n', '\n    Comment imprimer ma recherche d’itinéraire ?\n', '\n    Comment lire la carte ?\n', '\n    Y a-t-il une perturbation de trafic sur mon trajet ?\n', '\n    Pourquoi ai-je obtenu un itinéraire piéton ?  \xa0\n', '\n    Comment lire ma feuille de route ?\n', '\n    Comment effectuer ma recherche d’itinéraire ?\n', '\n    Quels sont les principes de la recherche d’itinéraire\xa0?\n']","['Lors de votre recherche, si votre trajet emprunte une ligne à tarification spéciale, une notification sera affichée dans la feuille de route de votre itinéraire.']"
"['\n    Comment les calculs sont-ils effectués ?\n', '\n    Comment sont calculées les distances parcourues ?\n', '\n    Comment réduire son empreinte carbone avec la RATP ?\n', '\n    Pourquoi calculer les émissions de gaz à effet de serre dues à ses déplacements ?\n']",[]
"[""\n    Comment connaitre l'état des équipements sur l'ensemble du réseau RATP ?\n""]","['Le service état des équipements est actuellement en chantier. La RATP a à cœur de vous proposer un service plus complet et adapté à vos besoins, c’est pourquoi nos équipes travaillent actuellement à l’amélioration de cette fonctionnalité.\xa0', '\xa0', '\xa0']"
"['\n    Où puis-je retrouver de l’information en temps réel\xa0?\n', '\n    Comment sont affichés les horaires temps réels\xa0?\n', '\n    Où puis-je retrouver les horaires en temps réel\xa0?\n', '\n    Est-ce que les horaires affichés sont les mêmes sur les applications mobiles RATP, RATP.FR et sur les écrans en station\xa0?\n', '\n    Pourquoi je ne trouve pas les horaires des RER C, D et E...\xa0?\n', '\n    J’ai voulu consulter un horaire pour un arrêt de bus mais celui-ci ne s’affiche pas, est-ce normal\xa0?\n', ""\n    Le format de présentation et les informations fournies par les fiches horaires bus semblent varier d'une ligne à l'autre. Pourquoi ?\n""]","['Vous pouvez trouver de l’information en temps réel sur\xa0:', '- Le site ratp.fr (directement depuis la page d’accueil, rubriques information trafic, bulletin trafic RER, Métro, Tram, Bus, Transilien, et sur l’espace maRATP après abonnement),\n- L’application mobile BonjourRATP et son option «\xa0info & alertes trafic\xa0»,\n- Les comptes Twitter des lignes,\n- les écrans d’informations dans nos espaces.']"
"['\n    Comment connaitre le nombre de t+ restant sur mon passe Navigo Easy ?\n', '\n    J’ai oublié mon passe Navigo Easy, puis-je être dépanné ?\n', '\n    Mon passe Navigo Easy ne fonctionne plus, va-t-il m’être remplacé ?\n', '\n    J’ai perdu ou je me suis fait voler mon passe Navigo Easy, peut-on me le remplacer et remplacer son contenu ?\n']",['Vous pouvez connaitre votre solde de t+ :']
"['\n    À quoi va me servir mon espace personnel sur le site iledefrance-mobilites.fr ?\n', '\n    Que se passera-t-il après la souscription réalisée sur le site iledefrance-mobilites.fr ? \n', '\n    J’ai un forfait Navigo Mois ou Semaine valable sur les zones 1-5 et mon contrat Navigo Liberté + sur mon passe Navigo. Lequel va être validé ?\n', '\n    Vais-je être informé du montant qui sera prélevé ? \n', '\n    À quel moment se font les prélèvements ? \n', '\n    J’ai oublié, j’ai perdu ou je me suis fait voler mon passe Navigo, puis-je être dépanné ?\n', '\n    J’ai perdu ou je me suis fait voler mon passe Navigo, que dois-je faire ? \n', '\n    J’utilise habituellement Navigo Liberté + mais je vais avoir besoin pendant quelques temps d’utiliser un forfait Navigo Mois/Semaine/Jour zones 1-5. Dois-je suspendre ou résilier mon contrat Navigo Liberté + ?\n', '\n    Je ne vais pas voyager pendant quelques temps, dois-je suspendre mon contrat ?\n', '\n    Puis-je obtenir une attestation Navigo Liberté + ? \n']","['En créant votre espace personnel sur le site iledefrance-mobilites.fr, vous allez pouvoir :']"
"['\n    Combien de temps est-il valide ?\n', '\n    Mon ticket t+ n’a pas fonctionné quand j’ai voulu valider, alors que je ne l’ai jamais utilisé, que faire ?\n', '\n    J’ai des titres de transport non utilisés et je souhaite me faire rembourser ?\n', '\n    Je souhaite faire une correspondance avec mon Ticket t+, est-ce possible\xa0?\n', ""\n    J'ai perdu ou je me suis fait voler mon ticket, que faire ?\n"", '\n    Comment utiliser le ticket t+ à bord des bus et du tramway ?\n', '\n    Comment utiliser le ticket t+ sur les réseaux métro et le RER dans Paris ? \n']","['Le ticket t+ est valide tant qu’il n’a pas été utilisé. ', 'Aucune correspondance possible entre métro/RER et bus.']"
"['\n    Je souhaite souscrire un forfait Navigo Annuel, que dois-je faire\xa0?\n', '\n    Comment obtenir mon attestation ?\n', '\n    Comment résilier mon contrat ?\n', '\n    Comment suspendre mon forfait ?\n', '\n    Comment changer les zones de mon forfait ?\n', ""\n    J'ai changé de compte bancaire, comment effectuer le changement ?\n"", ""\n    J'ai perdu ou on m'a volé mon passe Navigo Annuel, comment en obtenir un nouveau ?\n"", ""\n    J'ai déménagé, comment déclarer ce changement ?\n"", '\n    Quand ai-je droit au dézonage ?\n', ""\n    Je suis abonné Navigo mensuel ou annuel\xa0; je n’ai pu présenter mon passe Navigo à l'agent de contrôle, suite à un oubli. Que dois-je faire\xa0?\n"", '\n    Mon passe Navigo ne fonctionne plus ?\n']","['Pour souscrire un forfait Navigo Annuel, vous pouvez : ']"
"['\n    Puis-je en bénéficier ? \n', ""\n    Comment l'obtenir ? \n"", '\n    Service après-vente \n']","['Pour en bénéficier, vous devez :\xa0']"
"['\n    Comment commander un passe Navigo ?\n', ""\n    J'ai perdu ou je me suis fait voler mon passe Navigo, comment en obtenir un nouveau ?\n"", '\n    Mon passe Navigo ne fonctionne plus ?\n', '\n    Je me suis trompé sur la machine en voulant charger mon abonnement que dois-je faire pour me faire rembourser\xa0?\n', '\n    Sur quel passe Navigo sont chargés les forfaits Navigo Mois et Semaine ? \n', '\n    Je souhaite le remboursement de mon forfait Navigo, que dois-je faire ? \n', '\n    Comment changer les zones de mon forfait Navigo Mois et Semaine ?\n']","['Pour les résidents en Île-de-France, le passe Navigo peut être obtenu:\xa0', '\xa0', 'Pour les personnes ne résidant pas en Île-de-France mais y travaillant, le passe Navigo peut uniquement être commandé par correspondance.']"
"['\n    Où acheter mon forfait Navigo Jour ? \n', '\n    Comment choisir les zones de mon forfait Navigo jour ?\n', '\n    Comment modifier les zones de mon forfait Navigo jour ?\n', '\n    Puis-je me faire rembourser mon forfait Navigo Jour ?\n']",['Vous pouvez acheter votre forfait Navigo Jour :']
['\n    Comment faire pour souscrire à un forfait imagine R ?\n'],"['La souscription au forfait imagine R se fait directement en ligne, en se connectant à son espace personnel sur iledefrance-mobilites.fr/imagine-r', 'Après s’être connecté ou avoir créé son espace personnel, puis renseigné le formulaire en ligne et avoir transmis toutes les pièces demandées :', 'Le payeur devra ensuite signer électroniquement les documents relatifs à la souscription constituant le contrat.', 'Le délai moyen de réception de la carte Navigo imagine R est de 10 jours (hors week-end et jours fériés) en fonction de la date de réception du dossier.', 'Pour toutes les questions liées à la gestion de votre forfait (SAV, etc) cliquez ici']"
"[""\n    J'ai perdu ou je me suis fait voler ma carte, que faire ?\n"", '\n    Ma carte ne fonctionne plus, que dois-je faire ?\n']","[""Si vous avez perdu votre carte, vous pouvez vous présenter sur l'ensemble du réseau RATP.""]"
"['\n    Qui peut en bénéficier ?\n', '\n    Quelles sont les démarches\xa0?\n', '\n    Je souhaite effectuer une réclamation concernant la Tarification Solidarité Transport , que dois-je faire\xa0?\n', ""\n    J'ai des questions par rapport à mes droits Solidarité Transport, qui dois-je contacter ?\n""]","['\xa0 Vous habitez en Île-de-France et vous êtes :', '* ATTENTION : La CSS peut être accordée avec ou sans participation financière. Seule la CSS sans participation financière peut donner droit à la Tarification Solidarité Transport.']"
"['\n    Quels sont les avantages du passe Paris Visite\xa0?\n', '\n    Où puis-je acheter mon titre de transport\xa0?\n', '\n    Comment choisir les zones qui me sont nécessaires ?\n', '\n    Comment utiliser mon Forfait Paris Visite ? \n', '\n    Mon titre ne fonctionne plus, que dois-je faire ?\n']","['Paris Visite vous permet de voyager avec tous les modes de transports en commun suivant dans les zones choisies\xa0:', 'Il permet également de bénéficier de 100€ d’avantages valables chez nos\xa0 partenaires en présentant votre titre en cours de validité.', 'Il permet également de bénéficier d’avantages culturels et commerciaux en présentant votre titre en cours de validité.\xa0']"
"['\n    Je souhaite obtenir la Carte Familles Nombreuses, que dois-je faire\xa0?\n']","[""La carte familles nombreuses permet aux familles ayant au moins 3 enfants d'obtenir des réductions sur les voyages en train, ainsi que des avantages auprès de certains partenaires.\nVous pouvez l’obtenir sur le site carte-familles-nombreuses.gouv.fr""]"
